date,budget,expense,department,expense_status,variance,utilization_percentage,quarter,fiscal_year
03-20-2025,250000,200670.23,HR,Within Budget,49329.77,80.27,Q1,FY 2025-26
03-22-2025,900000,290116.27,R&D,Within Budget,609883.73,32.24,Q1,FY 2025-26
03-24-2025,800000,174646.78,Operations,Within Budget,625353.22,21.83,Q1,FY 2025-26
03-26-2025,300000,67284.46,Finance,Within Budget,232715.54,22.43,Q1,FY 2025-26
03-28-2025,450000,147237.48,Procurement,Within Budget,302762.52,32.72,Q1,FY 2025-26
03-30-2025,900000,37135.71,R&D,Within Budget,862864.29,4.13,Q1,FY 2025-26
04-01-2025,300000,150493.59,Finance,Within Budget,149506.41,50.16,Q2,FY 2025-26
04-03-2025,250000,95499.65,HR,Within Budget,154500.35,38.2,Q2,FY 2025-26
04-05-2025,700000,213365.75,Sales,Within Budget,486634.25,30.48,Q2,FY 2025-26
04-07-2025,200000,199423.82,Legal,Within Budget,576.18,99.71,Q2,FY 2025-26
04-09-2025,250000,54870.73,HR,Within Budget,195129.27,21.95,Q2,FY 2025-26
04-11-2025,600000,165338.08,IT,Within Budget,434661.92,27.56,Q2,FY 2025-26
04-13-2025,600000,47799.02,IT,Within Budget,552200.98,7.97,Q2,FY 2025-26
04-15-2025,250000,243827.0,HR,Within Budget,6173.0,97.53,Q2,FY 2025-26
04-17-2025,200000,45208.1,Legal,Within Budget,154791.9,22.6,Q2,FY 2025-26
04-19-2025,200000,33012.64,Legal,Within Budget,166987.36,16.51,Q2,FY 2025-26
04-21-2025,700000,97198.51,Sales,Within Budget,602801.49,13.89,Q2,FY 2025-26
04-23-2025,900000,34083.57,R&D,Within Budget,865916.43,3.79,Q2,FY 2025-26
04-25-2025,450000,117078.4,Procurement,Within Budget,332921.6,26.02,Q2,FY 2025-26
04-27-2025,700000,31542.87,Sales,Within Budget,668457.13,4.51,Q2,FY 2025-26
04-29-2025,300000,268067.04,Finance,Within Budget,31932.96,89.36,Q2,FY 2025-26
05-01-2025,200000,42667.79,Legal,Within Budget,157332.21,21.33,Q2,FY 2025-26
05-03-2025,300000,127330.15,Finance,Within Budget,172669.85,42.44,Q2,FY 2025-26
05-05-2025,800000,229631.35,Operations,Within Budget,570368.65,28.7,Q2,FY 2025-26
05-07-2025,250000,233467.31,HR,Within Budget,16532.69,93.39,Q2,FY 2025-26
05-09-2025,200000,172822.5,Legal,Within Budget,27177.5,86.41,Q2,FY 2025-26
05-11-2025,300000,276273.58,Finance,Within Budget,23726.42,92.09,Q2,FY 2025-26
05-13-2025,500000,238436.57,Marketing,Within Budget,261563.43,47.69,Q2,FY 2025-26
05-15-2025,200000,126334.25,Legal,Within Budget,73665.75,63.17,Q2,FY 2025-26
05-17-2025,450000,293105.63,Procurement,Within Budget,156894.37,65.13,Q2,FY 2025-26
05-19-2025,450000,57880.71,Procurement,Within Budget,392119.29,12.86,Q2,FY 2025-26
05-21-2025,300000,245626.08,Finance,Within Budget,54373.92,81.88,Q2,FY 2025-26
05-23-2025,200000,143850.12,Legal,Within Budget,56149.88,71.93,Q2,FY 2025-26
05-25-2025,300000,150053.66,Finance,Within Budget,149946.34,50.02,Q2,FY 2025-26
05-27-2025,250000,121123.41,HR,Within Budget,128876.59,48.45,Q2,FY 2025-26
05-29-2025,900000,108546.59,R&D,Within Budget,791453.41,12.06,Q2,FY 2025-26
05-31-2025,250000,68608.79,HR,Within Budget,181391.21,27.44,Q2,FY 2025-26
06-02-2025,700000,264633.53,Sales,Within Budget,435366.47,37.8,Q2,FY 2025-26
06-04-2025,450000,178059.03,Procurement,Within Budget,271940.97,39.57,Q2,FY 2025-26
06-06-2025,700000,162533.69,Sales,Within Budget,537466.31,23.22,Q2,FY 2025-26
06-08-2025,450000,224739.69,Procurement,Within Budget,225260.31,49.94,Q2,FY 2025-26
06-10-2025,800000,270694.23,Operations,Within Budget,529305.77,33.84,Q2,FY 2025-26
06-12-2025,700000,50535.64,Sales,Within Budget,649464.36,7.22,Q2,FY 2025-26
06-14-2025,450000,91890.8,Procurement,Within Budget,358109.2,20.42,Q2,FY 2025-26
06-16-2025,700000,97750.86,Sales,Within Budget,602249.14,13.96,Q2,FY 2025-26
06-18-2025,250000,283022.18,HR,Over Budget,-33022.18,113.21,Q2,FY 2025-26
06-20-2025,600000,287934.8,IT,Within Budget,312065.2,47.99,Q2,FY 2025-26
06-22-2025,450000,79862.32,Procurement,Within Budget,370137.68,17.75,Q2,FY 2025-26
06-24-2025,250000,78394.91,HR,Within Budget,171605.09,31.36,Q2,FY 2025-26
06-26-2025,350000,88505.21,Customer Support,Within Budget,261494.79,25.29,Q2,FY 2025-26
06-28-2025,350000,112182.76,Customer Support,Within Budget,237817.24,32.05,Q2,FY 2025-26
06-30-2025,700000,177497.04,Sales,Within Budget,522502.96,25.36,Q2,FY 2025-26
07-02-2025,300000,280577.94,Finance,Within Budget,19422.06,93.53,Q3,FY 2025-26
07-04-2025,450000,62247.65,Procurement,Within Budget,387752.35,13.83,Q3,FY 2025-26
07-06-2025,900000,160378.91,R&D,Within Budget,739621.09,17.82,Q3,FY 2025-26
07-08-2025,200000,238662.47,Legal,Over Budget,-38662.47,119.33,Q3,FY 2025-26
07-10-2025,500000,221284.89,Marketing,Within Budget,278715.11,44.26,Q3,FY 2025-26
07-12-2025,350000,263466.71,Customer Support,Within Budget,86533.29,75.28,Q3,FY 2025-26
07-14-2025,700000,133848.66,Sales,Within Budget,566151.34,19.12,Q3,FY 2025-26
07-16-2025,800000,256093.56,Operations,Within Budget,543906.44,32.01,Q3,FY 2025-26
07-18-2025,300000,192681.49,Finance,Within Budget,107318.51,64.23,Q3,FY 2025-26
07-20-2025,250000,272023.77,HR,Over Budget,-22023.77,108.81,Q3,FY 2025-26
07-22-2025,350000,192518.39,Customer Support,Within Budget,157481.61,55.01,Q3,FY 2025-26
07-24-2025,900000,119433.5,R&D,Within Budget,780566.5,13.27,Q3,FY 2025-26
07-26-2025,350000,58636.99,Customer Support,Within Budget,291363.01,16.75,Q3,FY 2025-26
07-28-2025,250000,124177.57,HR,Within Budget,125822.43,49.67,Q3,FY 2025-26
07-30-2025,900000,124506.3,R&D,Within Budget,775493.7,13.83,Q3,FY 2025-26
08-01-2025,200000,111764.32,Legal,Within Budget,88235.68,55.88,Q3,FY 2025-26
08-03-2025,800000,236828.64,Operations,Within Budget,563171.36,29.6,Q3,FY 2025-26
08-05-2025,700000,248151.62,Sales,Within Budget,451848.38,35.45,Q3,FY 2025-26
08-07-2025,800000,250631.48,Operations,Within Budget,549368.52,31.33,Q3,FY 2025-26
08-09-2025,300000,130152.99,Finance,Within Budget,169847.01,43.38,Q3,FY 2025-26
08-11-2025,250000,256447.0,HR,Over Budget,-6447.0,102.58,Q3,FY 2025-26
08-13-2025,200000,162630.57,Legal,Within Budget,37369.43,81.32,Q3,FY 2025-26
08-15-2025,300000,260491.16,Finance,Within Budget,39508.84,86.83,Q3,FY 2025-26
08-17-2025,200000,126342.23,Legal,Within Budget,73657.77,63.17,Q3,FY 2025-26
08-19-2025,500000,58639.87,Marketing,Within Budget,441360.13,11.73,Q3,FY 2025-26
08-21-2025,500000,163278.13,Marketing,Within Budget,336721.87,32.66,Q3,FY 2025-26
08-23-2025,350000,113614.35,Customer Support,Within Budget,236385.65,32.46,Q3,FY 2025-26
08-25-2025,200000,39191.08,Legal,Within Budget,160808.92,19.6,Q3,FY 2025-26
08-27-2025,200000,107091.38,Legal,Within Budget,92908.62,53.55,Q3,FY 2025-26
