Transaction_ID,Date,Department,Expense_Type,Vendor,Region,Expense,Budget,Average_Expense,Expense_Variance,Budget_Utilization_Percentage,Expense_Status,Tax_Amount,Net_Payment,Quarter,Fiscal_Year,Approval_Status,Employee_Count_In_Department,Project_Code
CORP_TXN_0017,02-02-2025,Legal,Software License,SecureNet,West,295970.75,200000,225385.18,-95970.75,147.99,Over Budget,53274.74,349245.48,Q1,FY 2025-26,Approved,207,PRJ-6485
CORP_TXN_0018,04-02-2025,Legal,Advertising,FinEdge Corp,West,31542.87,200000,176924.61,168457.13,15.77,Within Budget,5677.72,37220.59,Q1,FY 2025-26,Approved,198,PRJ-3359
CORP_TXN_0019,06-02-2025,Sales,Infrastructure,TechNova Solutions,Central,229631.35,700000,138715.18,470368.65,32.8,Within Budget,41333.64,270964.99,Q1,FY 2025-26,Pending,152,PRJ-6016
CORP_TXN_0020,08-02-2025,Finance,Training,DataPeak Systems,East,238436.57,300000,178044.26,61563.43,79.48,Within Budget,42918.58,281355.15,Q1,FY 2025-26,Approved,151,PRJ-6533
CORP_TXN_0021,10-02-2025,Procurement,Travel,DataPeak Systems,West,198144.85,450000,242203.51,251855.15,44.03,Within Budget,35666.07,233810.92,Q1,FY 2025-26,Approved,204,PRJ-3228
CORP_TXN_0022,12-02-2025,R&D,Software License,NextGen Labs,East,121123.41,900000,121123.41,778876.59,13.46,Within Budget,21802.21,142925.62,Q1,FY 2025-26,Pending,217,PRJ-1462
CORP_TXN_0023,14-02-2025,Finance,Consulting,FinEdge Corp,East,114335.49,300000,156808,185664.51,38.11,Within Budget,20580.39,134915.88,Q1,FY 2025-26,Rejected,41,PRJ-9936
CORP_TXN_0024,16-02-2025,Sales,Infrastructure,Prime Logistics,North,270694.23,700000,182708.2,429305.77,38.67,Within Budget,48724.96,319419.19,Q1,FY 2025-26,Pending,144,PRJ-4985
CORP_TXN_0025,18-02-2025,Operations,Advertising,TechNova Solutions,Central,97750.86,800000,156569.41,702249.14,12.22,Within Budget,17595.15,115346.01,Q1,FY 2025-26,Approved,65,PRJ-9276
CORP_TXN_0026,20-02-2025,Operations,Software License,AdVision Media,North,78394.91,800000,137025.78,721605.09,9.8,Within Budget,14111.08,92505.99,Q1,FY 2025-26,Rejected,96,PRJ-2372
CORP_TXN_0027,22-02-2025,Sales,Consulting,FinEdge Corp,West,172862.55,700000,180246.79,527137.45,24.69,Within Budget,31115.26,203977.81,Q1,FY 2025-26,Pending,202,PRJ-7526
CORP_TXN_0028,24-02-2025,HR,Training,NextGen Labs,East,221284.89,250000,110770.44,28715.11,88.51,Within Budget,39831.28,261116.17,Q1,FY 2025-26,Pending,249,PRJ-4672
CORP_TXN_0029,26-02-2025,Procurement,Payroll,TechNova Solutions,Central,192681.49,450000,232299.11,257318.51,42.82,Within Budget,34682.67,227364.16,Q1,FY 2025-26,Rejected,141,PRJ-6626
CORP_TXN_0030,28-02-2025,Customer Support,Travel,Prime Logistics,West,215099.15,350000,96266.7,134900.85,61.46,Within Budget,38717.85,253817,Q1,FY 2025-26,Pending,186,PRJ-7893
CORP_TXN_0031,02-03-2025,Sales,Advertising,NextGen Labs,East,84563.44,700000,161110.12,615436.56,12.08,Within Budget,15221.42,99784.86,Q1,FY 2025-26,Approved,225,PRJ-3960
CORP_TXN_0032,04-03-2025,Legal,Software License,DataPeak Systems,Central,256447,200000,192829.08,-56447,128.22,Over Budget,46160.46,302607.46,Q1,FY 2025-26,Pending,227,PRJ-3865
CORP_TXN_0033,06-03-2025,Procurement,Office Supplies,SecureNet,North,126342.23,450000,214639.63,323657.77,28.08,Within Budget,22741.6,149083.83,Q1,FY 2025-26,Pending,143,PRJ-6279
CORP_TXN_0034,08-03-2025,HR,Office Supplies,DataPeak Systems,East,39191.08,250000,92875.6,210808.92,15.68,Within Budget,7054.39,46245.47,Q1,FY 2025-26,Approved,134,PRJ-6319
CORP_TXN_0035,10-03-2025,Operations,Cloud Services,NextGen Labs,Central,98126.44,800000,129245.91,701873.56,12.27,Within Budget,17662.76,115789.2,Q1,FY 2025-26,Rejected,103,PRJ-5070
CORP_TXN_0036,12-03-2025,R&D,Consulting,SecureNet,East,183113.61,900000,152118.51,716886.39,20.35,Within Budget,32960.45,216074.06,Q1,FY 2025-26,Approved,61,PRJ-3020
CORP_TXN_0037,14-03-2025,HR,Office Supplies,FinEdge Corp,West,206556.28,250000,115611.74,43443.72,82.62,Within Budget,37180.13,243736.41,Q1,FY 2025-26,Rejected,25,PRJ-8705
CORP_TXN_0038,16-03-2025,Procurement,Payroll,Prime Logistics,South,114606.28,450000,200349.15,335393.72,25.47,Within Budget,20629.13,135235.41,Q1,FY 2025-26,Rejected,236,PRJ-1526
CORP_TXN_0039,18-03-2025,R&D,Consulting,SecureNet,Central,272385.19,900000,192207.4,627614.81,30.27,Within Budget,49029.33,321414.52,Q1,FY 2025-26,Approved,97,PRJ-7332
CORP_TXN_0040,20-03-2025,Operations,Travel,SecureNet,South,264686.47,800000,151819.34,535313.53,33.09,Within Budget,47643.56,312330.03,Q1,FY 2025-26,Pending,106,PRJ-7962
CORP_TXN_0041,22-03-2025,HR,Maintenance,FinEdge Corp,South,28566.84,250000,101104.25,221433.16,11.43,Within Budget,5142.03,33708.87,Q1,FY 2025-26,Approved,83,PRJ-9597
CORP_TXN_0042,24-03-2025,Finance,Consulting,SecureNet,West,255900.54,300000,181581.14,44099.46,85.3,Within Budget,46062.1,301962.64,Q1,FY 2025-26,Pending,72,PRJ-5627
CORP_TXN_0043,26-03-2025,Procurement,Travel,SecureNet,South,53387.7,450000,181978.97,396612.3,11.86,Within Budget,9609.79,62997.49,Q1,FY 2025-26,Rejected,32,PRJ-7428
CORP_TXN_0044,28-03-2025,Legal,Cloud Services,DataPeak Systems,West,55510.71,200000,169942.69,144489.29,27.76,Within Budget,9991.93,65502.64,Q1,FY 2025-26,Rejected,106,PRJ-3520
CORP_TXN_0045,30-03-2025,R&D,Payroll,AdVision Media,South,78476.48,900000,163774.67,821523.52,8.72,Within Budget,14125.77,92602.25,Q1,FY 2025-26,Approved,77,PRJ-4410
CORP_TXN_0046,01-04-2025,IT,Office Supplies,TechNova Solutions,West,279962.98,600000,169840.82,320037.02,46.66,Within Budget,50393.34,330356.32,Q2,FY 2025-26,Rejected,97,PRJ-9960
CORP_TXN_0047,03-04-2025,HR,Software License,AdVision Media,West,279284.84,250000,126558.62,-29284.84,111.71,Over Budget,50271.27,329556.11,Q2,FY 2025-26,Rejected,89,PRJ-4046
CORP_TXN_0048,05-04-2025,Marketing,Travel,Prime Logistics,South,102700.69,500000,185843.29,397299.31,20.54,Within Budget,18486.12,121186.81,Q2,FY 2025-26,Rejected,21,PRJ-6923
CORP_TXN_0049,07-04-2025,Finance,Cloud Services,AdVision Media,Central,86856.84,300000,162636.28,213143.16,28.95,Within Budget,15634.23,102491.07,Q2,FY 2025-26,Rejected,250,PRJ-8120
CORP_TXN_0050,09-04-2025,Legal,Consulting,CloudSphere,West,76963.48,200000,156659.94,123036.52,38.48,Within Budget,13853.43,90816.91,Q2,FY 2025-26,Approved,88,PRJ-3281
CORP_TXN_0051,11-04-2025,R&D,Travel,NextGen Labs,East,59644.17,900000,142948.57,840355.83,6.63,Within Budget,10735.95,70380.12,Q2,FY 2025-26,Rejected,172,PRJ-1285
CORP_TXN_0052,13-04-2025,R&D,Consulting,Prime Logistics,South,122076.68,900000,139469.92,777923.32,13.56,Within Budget,21973.8,144050.48,Q2,FY 2025-26,Pending,27,PRJ-2732
CORP_TXN_0053,15-04-2025,Procurement,Travel,Prime Logistics,North,188026.37,450000,182650.9,261973.63,41.78,Within Budget,33844.75,221871.12,Q2,FY 2025-26,Rejected,67,PRJ-7296
CORP_TXN_0054,17-04-2025,Finance,Office Supplies,NextGen Labs,South,59690.42,300000,145478.63,240309.58,19.9,Within Budget,10744.28,70434.7,Q2,FY 2025-26,Approved,56,PRJ-2414
CORP_TXN_0055,19-04-2025,Sales,Software License,AdVision Media,West,52008.12,700000,142926.45,647991.88,7.43,Within Budget,9361.46,61369.58,Q2,FY 2025-26,Pending,66,PRJ-7630
CORP_TXN_0056,21-04-2025,HR,Software License,NextGen Labs,North,66716.8,250000,119078.4,183283.2,26.69,Within Budget,12009.02,78725.82,Q2,FY 2025-26,Approved,186,PRJ-1674
CORP_TXN_0057,23-04-2025,Sales,Cloud Services,AdVision Media,South,287921.15,700000,163639.98,412078.85,41.13,Within Budget,51825.81,339746.96,Q2,FY 2025-26,Approved,215,PRJ-8066
CORP_TXN_0058,25-04-2025,Sales,Payroll,TechNova Solutions,East,49585.84,700000,149383.21,650414.16,7.08,Within Budget,8925.45,58511.29,Q2,FY 2025-26,Pending,186,PRJ-7565
CORP_TXN_0059,27-04-2025,Sales,Infrastructure,TechNova Solutions,Central,249029.35,700000,160455.01,450970.65,35.58,Within Budget,44825.28,293854.63,Q2,FY 2025-26,Approved,43,PRJ-5090
CORP_TXN_0060,29-04-2025,Marketing,Infrastructure,TechNova Solutions,Central,59406.46,500000,154234.08,440593.54,11.88,Within Budget,10693.16,70099.62,Q2,FY 2025-26,Rejected,235,PRJ-9898
CORP_TXN_0061,01-05-2025,Marketing,Office Supplies,Prime Logistics,East,293540.08,500000,182095.28,206459.92,58.71,Within Budget,52837.21,346377.29,Q2,FY 2025-26,Rejected,48,PRJ-7829
CORP_TXN_0062,03-05-2025,HR,Maintenance,Prime Logistics,North,104565.44,250000,117465.84,145434.56,41.83,Within Budget,18821.78,123387.22,Q2,FY 2025-26,Pending,144,PRJ-1047
CORP_TXN_0063,05-05-2025,Marketing,Travel,FinEdge Corp,Central,129093.66,500000,173261.68,370906.34,25.82,Within Budget,23236.86,152330.52,Q2,FY 2025-26,Pending,128,PRJ-2714
CORP_TXN_0064,07-05-2025,Customer Support,Consulting,CloudSphere,South,79649.5,350000,92112.4,270350.5,22.76,Within Budget,14336.91,93986.41,Q2,FY 2025-26,Approved,199,PRJ-6869
CORP_TXN_0065,09-05-2025,Legal,Cloud Services,FinEdge Corp,West,102907.38,200000,149940.87,97092.62,51.45,Within Budget,18523.33,121430.71,Q2,FY 2025-26,Approved,81,PRJ-1509
CORP_TXN_0066,11-05-2025,Finance,Infrastructure,CloudSphere,South,125518.03,300000,142627.12,174481.97,41.84,Within Budget,22593.25,148111.28,Q2,FY 2025-26,Rejected,169,PRJ-2661
CORP_TXN_0067,13-05-2025,Marketing,Travel,CloudSphere,East,270509.85,500000,187154.27,229490.15,54.1,Within Budget,48691.77,319201.62,Q2,FY 2025-26,Approved,249,PRJ-5175
CORP_TXN_0068,15-05-2025,Sales,Payroll,CloudSphere,Central,94319.74,700000,153841.48,605680.26,13.47,Within Budget,16977.55,111297.29,Q2,FY 2025-26,Pending,147,PRJ-2955
CORP_TXN_0069,17-05-2025,Procurement,Travel,Prime Logistics,East,293169.32,450000,193702.74,156830.68,65.15,Within Budget,52770.48,345939.8,Q2,FY 2025-26,Rejected,236,PRJ-6053
CORP_TXN_0070,19-05-2025,R&D,Infrastructure,CloudSphere,Central,26471.45,900000,123327.28,873528.55,2.94,Within Budget,4764.86,31236.31,Q2,FY 2025-26,Approved,211,PRJ-8224
CORP_TXN_0071,21-05-2025,Legal,Advertising,FinEdge Corp,South,284318.73,200000,164871.75,-84318.73,142.16,Over Budget,51177.37,335496.1,Q2,FY 2025-26,Pending,15,PRJ-7805
CORP_TXN_0072,23-05-2025,Operations,Infrastructure,DataPeak Systems,South,276835.06,800000,169678.73,523164.94,34.6,Within Budget,49830.31,326665.37,Q2,FY 2025-26,Approved,59,PRJ-9783
CORP_TXN_0073,25-05-2025,Marketing,Office Supplies,DataPeak Systems,East,71240.71,500000,172665.08,428759.29,14.25,Within Budget,12823.33,84064.04,Q2,FY 2025-26,Approved,238,PRJ-1390
CORP_TXN_0074,27-05-2025,IT,Maintenance,TechNova Solutions,Central,133264.39,600000,157648.68,466735.61,22.21,Within Budget,23987.59,157251.98,Q2,FY 2025-26,Rejected,63,PRJ-6084
CORP_TXN_0075,29-05-2025,Marketing,Maintenance,Prime Logistics,North,175535.91,500000,172984.06,324464.09,35.11,Within Budget,31596.46,207132.37,Q2,FY 2025-26,Rejected,52,PRJ-6048
CORP_TXN_0076,31-05-2025,Marketing,Infrastructure,NextGen Labs,North,142418.36,500000,169927.49,357581.64,28.48,Within Budget,25635.3,168053.66,Q2,FY 2025-26,Pending,31,PRJ-3522
CORP_TXN_0077,02-06-2025,Finance,Software License,CloudSphere,West,176216.91,300000,146825.84,123783.09,58.74,Within Budget,31719.04,207935.95,Q2,FY 2025-26,Rejected,63,PRJ-7565
CORP_TXN_0078,04-06-2025,Customer Support,Office Supplies,Prime Logistics,North,220563.79,350000,117802.68,129436.21,63.02,Within Budget,39701.48,260265.27,Q2,FY 2025-26,Approved,37,PRJ-8197
CORP_TXN_0079,06-06-2025,HR,Consulting,TechNova Solutions,South,279599.82,250000,133679.24,-29599.82,111.84,Over Budget,50327.97,329927.79,Q2,FY 2025-26,Rejected,24,PRJ-3558
CORP_TXN_0080,08-06-2025,Procurement,Travel,TechNova Solutions,West,294000.61,450000,202820.73,155999.39,65.33,Within Budget,52920.11,346920.72,Q2,FY 2025-26,Rejected,241,PRJ-8741
CORP_TXN_0081,10-06-2025,Customer Support,Office Supplies,FinEdge Corp,West,116783.66,350000,117632.84,233216.34,33.37,Within Budget,21021.06,137804.72,Q2,FY 2025-26,Pending,183,PRJ-2702
CORP_TXN_0082,12-06-2025,IT,Software License,FinEdge Corp,Central,84397.94,600000,139335.99,515602.06,14.07,Within Budget,15191.63,99589.57,Q2,FY 2025-26,Pending,108,PRJ-9357
CORP_TXN_0083,14-06-2025,Legal,Training,FinEdge Corp,Central,103009.85,200000,158685.56,96990.15,51.5,Within Budget,18541.77,121551.62,Q2,FY 2025-26,Rejected,231,PRJ-2501
CORP_TXN_0084,16-06-2025,HR,Maintenance,FinEdge Corp,Central,191074.49,250000,138896.99,58925.51,76.43,Within Budget,34393.41,225467.9,Q2,FY 2025-26,Rejected,184,PRJ-2656
CORP_TXN_0085,18-06-2025,R&D,Infrastructure,NextGen Labs,North,197403.28,900000,132586.78,702596.72,21.93,Within Budget,35532.59,232935.87,Q2,FY 2025-26,Pending,90,PRJ-8625
CORP_TXN_0086,20-06-2025,Sales,Training,Prime Logistics,South,254211.8,700000,162966.05,445788.2,36.32,Within Budget,45758.12,299969.92,Q2,FY 2025-26,Approved,25,PRJ-7142
CORP_TXN_0087,22-06-2025,HR,Maintenance,Prime Logistics,West,51627.92,250000,131624.57,198372.08,20.65,Within Budget,9293.03,60920.95,Q2,FY 2025-26,Rejected,60,PRJ-2715
CORP_TXN_0088,24-06-2025,Customer Support,Travel,DataPeak Systems,South,88670.42,350000,113495.35,261329.58,25.33,Within Budget,15960.68,104631.1,Q2,FY 2025-26,Rejected,188,PRJ-2629
CORP_TXN_0089,26-06-2025,R&D,Consulting,NextGen Labs,East,232887.31,900000,143731.29,667112.69,25.88,Within Budget,41919.72,274807.03,Q2,FY 2025-26,Pending,169,PRJ-7819
CORP_TXN_0090,28-06-2025,Marketing,Advertising,FinEdge Corp,South,210925.6,500000,173654.59,289074.4,42.19,Within Budget,37966.61,248892.21,Q2,FY 2025-26,Approved,201,PRJ-1864
CORP_TXN_0091,30-06-2025,Procurement,Payroll,TechNova Solutions,South,126479.09,450000,196458.93,323520.91,28.11,Within Budget,22766.24,149245.33,Q2,FY 2025-26,Approved,221,PRJ-3740
CORP_TXN_0092,02-07-2025,Legal,Payroll,AdVision Media,Central,237132.65,200000,165817.11,-37132.65,118.57,Over Budget,42683.88,279816.53,Q3,FY 2025-26,Rejected,61,PRJ-8961
CORP_TXN_0093,04-07-2025,Procurement,Software License,SecureNet,East,154414.23,450000,193224.72,295585.77,34.31,Within Budget,27794.56,182208.79,Q3,FY 2025-26,Rejected,144,PRJ-8188
CORP_TXN_0094,06-07-2025,Operations,Travel,NextGen Labs,West,142391.16,800000,166267.78,657608.84,17.8,Within Budget,25630.41,168021.57,Q3,FY 2025-26,Pending,27,PRJ-8034
CORP_TXN_0095,08-07-2025,Legal,Travel,NextGen Labs,West,294582.2,200000,176547.54,-94582.2,147.29,Over Budget,53024.8,347607,Q3,FY 2025-26,Approved,43,PRJ-1622
CORP_TXN_0096,10-07-2025,Sales,Advertising,AdVision Media,Central,113086.83,700000,158809.45,586913.17,16.16,Within Budget,20355.63,133442.46,Q3,FY 2025-26,Rejected,187,PRJ-8800
CORP_TXN_0097,12-07-2025,Customer Support,Advertising,TechNova Solutions,South,208032.69,350000,125312.52,141967.31,59.44,Within Budget,37445.88,245478.57,Q3,FY 2025-26,Approved,182,PRJ-8352
CORP_TXN_0098,14-07-2025,Operations,Cloud Services,TechNova Solutions,East,142856,800000,163666.47,657144,17.86,Within Budget,25714.08,168570.08,Q3,FY 2025-26,Rejected,47,PRJ-5410
CORP_TXN_0099,16-07-2025,Sales,Consulting,CloudSphere,East,110459.1,700000,155090.19,589540.9,15.78,Within Budget,19882.64,130341.74,Q3,FY 2025-26,Approved,218,PRJ-1768
CORP_TXN_0100,18-07-2025,IT,Consulting,TechNova Solutions,Central,60347.92,600000,123538.38,539652.08,10.06,Within Budget,10862.63,71210.55,Q3,FY 2025-26,Pending,146,PRJ-7888
CORP_TXN_0101,20-07-2025,Legal,Cloud Services,AdVision Media,South,42631.5,200000,166246.3,157368.5,21.32,Within Budget,7673.67,50305.17,Q3,FY 2025-26,Pending,73,PRJ-6391
CORP_TXN_0102,22-07-2025,Legal,Cloud Services,CloudSphere,East,57165.27,200000,158454.8,142834.73,28.58,Within Budget,10289.75,67455.02,Q3,FY 2025-26,Rejected,111,PRJ-2679
CORP_TXN_0103,24-07-2025,Operations,Training,CloudSphere,East,49650.53,800000,152264.88,750349.47,6.21,Within Budget,8937.1,58587.63,Q3,FY 2025-26,Approved,63,PRJ-2350
CORP_TXN_0104,26-07-2025,IT,Office Supplies,NextGen Labs,West,249982.13,600000,144612.34,350017.87,41.66,Within Budget,44996.78,294978.91,Q3,FY 2025-26,Pending,197,PRJ-1661
CORP_TXN_0105,28-07-2025,Legal,Software License,SecureNet,Central,50827.46,200000,151279.64,149172.54,25.41,Within Budget,9148.94,59976.4,Q3,FY 2025-26,Pending,111,PRJ-6444
CORP_TXN_0106,30-07-2025,Sales,Advertising,FinEdge Corp,North,42354.56,700000,147037.65,657645.44,6.05,Within Budget,7623.82,49978.38,Q3,FY 2025-26,Approved,128,PRJ-7419
CORP_TXN_0107,01-08-2025,Procurement,Advertising,AdVision Media,East,34066.68,450000,181856.29,415933.32,7.57,Within Budget,6132,40198.68,Q3,FY 2025-26,Pending,194,PRJ-5703
CORP_TXN_0108,03-08-2025,Finance,Advertising,Prime Logistics,South,191366.61,300000,151774.82,108633.39,63.79,Within Budget,34445.99,225812.6,Q3,FY 2025-26,Rejected,208,PRJ-1564
CORP_TXN_0109,05-08-2025,Customer Support,Cloud Services,AdVision Media,East,255553.35,350000,139783.72,94446.65,73.02,Within Budget,45999.6,301552.95,Q3,FY 2025-26,Approved,194,PRJ-8796
CORP_TXN_0110,07-08-2025,Procurement,Infrastructure,FinEdge Corp,South,258423.57,450000,186960.77,191576.43,57.43,Within Budget,46516.24,304939.81,Q3,FY 2025-26,Pending,138,PRJ-6420
CORP_TXN_0111,09-08-2025,R&D,Cloud Services,SecureNet,West,152391.53,900000,144597.31,747608.47,16.93,Within Budget,27430.48,179822.01,Q3,FY 2025-26,Rejected,248,PRJ-5807
CORP_TXN_0112,11-08-2025,IT,Office Supplies,CloudSphere,Central,263245.93,600000,161559.99,336754.07,43.87,Within Budget,47384.27,310630.2,Q3,FY 2025-26,Pending,112,PRJ-9689
CORP_TXN_0113,13-08-2025,Finance,Infrastructure,FinEdge Corp,West,237914.36,300000,160388.77,62085.64,79.3,Within Budget,42824.58,280738.94,Q3,FY 2025-26,Rejected,128,PRJ-5468
CORP_TXN_0114,15-08-2025,Customer Support,Infrastructure,FinEdge Corp,Central,238695.9,350000,149674.94,111304.1,68.2,Within Budget,42965.26,281661.16,Q3,FY 2025-26,Approved,247,PRJ-7836
CORP_TXN_0115,17-08-2025,IT,Maintenance,CloudSphere,East,131034.14,600000,157744.26,468965.86,21.84,Within Budget,23586.15,154620.29,Q3,FY 2025-26,Pending,192,PRJ-3209
CORP_TXN_0116,19-08-2025,Finance,Advertising,FinEdge Corp,South,217391.33,300000,165570.82,82608.67,72.46,Within Budget,39130.44,256521.77,Q3,FY 2025-26,Pending,121,PRJ-3531
CORP_TXN_0117,21-08-2025,Finance,Cloud Services,AdVision Media,Central,98762.36,300000,160003.45,201237.64,32.92,Within Budget,17777.22,116539.58,Q3,FY 2025-26,Approved,90,PRJ-4133
CORP_TXN_0118,23-08-2025,Customer Support,Maintenance,SecureNet,South,38526.12,350000,139570.5,311473.88,11.01,Within Budget,6934.7,45460.82,Q3,FY 2025-26,Rejected,129,PRJ-1421
CORP_TXN_0119,25-08-2025,Finance,Payroll,FinEdge Corp,East,237215.46,300000,165942.84,62784.54,79.07,Within Budget,42698.78,279914.24,Q3,FY 2025-26,Approved,40,PRJ-4987
CORP_TXN_0120,27-08-2025,HR,Advertising,FinEdge Corp,West,84269.51,250000,127981.87,165730.49,33.71,Within Budget,15168.51,99438.02,Q3,FY 2025-26,Pending,59,PRJ-2548
